"movie_title","reviewer_name","review_date","rating","review_title","helpful_votes","review_text"
NA,"bob the moo","Apr 30, 2006",10,"A visually impressive and memorable look at the world that we live in",NA,"As the influence of man expands across the globe, fewer and fewer truly untouched wilderness exists. This series aims to use technology never used for nature programmes before to take us into these wildernesses and see the environment within them and the creatures that live there. Starting with a journey from one pole to the other, this series explores the extreme conditions of mountains (from the birth of one to the coldest of those existing), deserts, caves, oceans, fresh waters and others to present some of the most impressive footage ever seen in a nature documentary.With a budget of about £40 million, the BBC were going to have to deliver something pretty special to avoid the usual accusations of waste tax payer's money, catering to a small audience etc etc. However with Planet Earth they have easily silenced the critics to present a nature programme that is interesting and education. The biggest selling point is the footage which, at its worst is impressive but at its best is simply breath-taking and actually had me saying ""wow"" at some points. I am not naturally a nature programme viewer but this show had me hooked from episode 1 where a quick glance at the opening minutes had me staying with it for the following eleven weeks. The footage is impressive and, although it is the weakest part of each hour, I did enjoy some of the ""Planet Earth Diary"" sections where we actually saw the technology, techniques and sheer trial of getting the views that we get. My words can't really do it justice but the series gives footage that you won't have seen anywhere else before  with episode 1 claiming that the footage of a pack of dogs hunting told experts things they hadn't previously known.However I have seen some a couple of nature documentary feature films recently that have also had impressive footage but Planet Earth backs it up with a typically informative and engaging narration from David Attenborough. For me he added enough educational value to prevent the series just being televisual wallpaper  which of course is what it also does in terms of providing some beautiful material that would work even if the sound broke on your television. Like many others though, I would have liked there to be more connection made to the impact that man's actions are having on the ecosystems and animals that we are shown  for example are they getting rarer or having their habitats shrinking? Occasionally it does this but nowhere near enough  which is partly why some critics have labelled it ""environmental porn"", which I can understand but do not totally agree with.Overall this is a great series that does a great job of presenting the beauty of the natural world but just about having enough educational value to it to avoid it just being the television equivalent of wallpaper for your computer. The shots are impressive and the range of creatures and habitats that are presented makes this well worth seeing. I'm sure that wildlife fans will long for more detail but as a casual viewer this was just what I was looking for. An impressive and memorable look at the world that we live in."
NA,"alfeu","Jun 29, 2015",9,"Is it real? I mean, actual footagge?",NA,"This is a beautifully shot series looking at nature in all it's natural wonder, showcasing a breathtaking diversity of life from the poles to the deserts.With the spectre of global warming rapidly looming I wonder just how much of these wonderful ecosystems are going to survive. I just hope that in 100 years time people will not watch 'Planet Earth' with the same curiosity that I have when look at etchings of the Dodo from old books.TV like 'Planet Earth' has made me think a lot more about the natural world that surrounds me and the impact I am having on it. We can't sit back and let this disappear. It's for all future generations, not just this one."
NA,"Cabrone","Jul 20, 2006",10,"Beautiful",NA,"I'm just laughing at all these negative comments. I know it's hard for you PETA freaks to believe but, in the circle of life your precious animals actually kill each other. This movie is not a statement, it just shows the ""Planet Earth"". Kind of simple, don't you think? It's not an Al Gore ""made up"" movie. It just show images of our planet and what happens in the animal world. It's not a ""made up"" Micheal Moore film. It's just shows beautiful images of our planet. I mean my goodness, just watch it for what it is instead of making a big deal out of everything. I definitely recommend this film to anyone who is interested to see what goes on in nature."
NA,"berndt65","Jan 28, 2009",10,"Are you kidding me people?",NA,"Yes, I have watched all 11 Episodes. My favourite are Ep 1,3,6 and 10. I love the way the show talks to the viewers, the Planet Earth team and crew did a great job drawing a very beautiful and realistic picture about the animals on earth. And the nature as well, through all episodes, the nature is so mavelous, beautiful. I love the music they made, especially 4 episodes above. Although some episodes make me a little bit disappointed, but overall, this is one of the best nature & animals TV shows."
NA,"planktonrules","Jun 1, 2015",7,"It doesn't get any better than this.",NA,"This is going to be an unpopular review. But if even just one of you find it helpful, then there is hope for the Universe.Visually this is a stunning achievement. Read the other reviews about that stuff. But philosophically, it left me cold, empty and somewhat disgusted. This series focuses very heavily (almost exclusively) on two things: eating and procreating. It portrays animal life at its worst: savage, selfish and opportunistic. Having been intimately involved in wildlife studies & conservation, I can tell you that there's more to animal life than this.Imagine a race of aliens doing a documentary about human life, and they focus exclusively on slaughterhouses and daycare centers. That would hardly be a fair portrayal of the wonders of which we humans are capable. As a human, I'm sure you'd be outraged that the higher pursuits, like art and study, had been overlooked in favour of the more sensational, dramatic and carnal elements of life.The segments about predators (wild dogs, cougars, sharks, hawks) show them to be nothing more than killing machines (complete with the obligatory soundtrack - minor key, low cello note). They are invariably shown either hunting or eating. Or thinking about hunting. There is no footage of the fascinating wild dog ""singing"" rituals, playtime or simple leisure--the stuff they do when they're not ripping antelope to shreds, you know? Unfortunately documentaries like this only serve to reinforce the myopic opinion that ""nature is savage"". And in turn, humans feel it is their duty to emulate such savagery. If this documentary were indeed what it purports to be--an objective view of the planet Earth--then it would have offered not only the vulgar cycles of life and death but the inscrutable mysteries of life that do not fall into that category. Aside from a 5-second shot of a polar bear tobogganing down a hillside (which Attenborough narrates as ""she may be cleaning her fur or simply enjoying herself""), this documentary claims to understand everything about animals, limited to killing and procreation, of course.Serious nature enthusiasts may be offended. Werner Herzog would be proud (""I believe the common denominator of the Universe is not harmony, but chaos, hostility and murder""--Grizzly Man). Me, I was severely bummed out. I rate this a 10 for cinematography and a 5 for content. Watch it as a feast for the eyes. But make no mistake, there is a lot more to life on Earth than what this show implies. And Sir David Attenborough has a very anthropocentric view of the world. It is no wonder that, when asked why he does not endorse vegetarianism, he said, alluding to the superiority of the human species, that he has no moral problem with killing animals and also added that he ""doesn't love animals, but is fascinated by them."" He openly admitted hating rats and said that his favourite animal is the human being (source: funtrivia.com). Implied: ""Animals suck."""
NA,"dakuchonekobing","Oct 8, 2020",3,"Only 4 Eps can touch my soul!",NA,"Planet Earth is a worthy documentary series that looks not just at the animals and plants in remote areas, but at the ever-changing ecosystems that look prone to collapse in the near future. This is the sort of programme that the BBC excels at and makes better than anyone else.The camera-work is fantastic and the sections at the end of each programme where they look at how certain parts were filmed is interesting as you see the dedication of the crew who go out to these desolate spots for months to film sections that will last only a couple of minutes on screen. Much of the wildlife has barely been filmed and some such as the wonderfully agile Wild Amur leopard have probably only been seen by very few living people in the flesh.It is narrated by David Attenborough who has the perfect voice for wildlife documentaries and his presence is almost a guarantee of quality in itself. His record speaks for itself.Some of the sequences shown are very brave, most notably the struggles of the polar bear to find food on the ever-decreasing Arctic ice. Too many nature documentaries succumb to ""niceness"" and show only cute animals looking sweet. To understand how Man is changing the planet it is crucial to show how wasting energy may be affecting wildlife in distant lands (or seas). Sadly it is also important as it seems all too likely that much of the footage will become museum property in the near future, showing subsequent generations the marvellous diversity of life Earth used to enjoy.Overall it has some good educational value as it can be enjoyed both by young children and was recommended by my tutors during a conservation module of my degree."
NA,"rooprect","Dec 4, 2007",10,"Should be called ""BBC - Yeah, animals suck""",NA,"OK, I'm writing this to explain few things to people who wrote their reviews and gave this documentary 1 or 3 point with argument that there were too much killing and gallons of blood were shed or something like that.I've read where these guys are from, one from NYC and one from Toronto etc... it's pretty easy to forget what real life is about when you have full fridge in the kitchen, Wallmart next to your house and McDonald on your way to work, isn't it? It's pretty easy to forget when all you have to do to feed yourself is PUT THAT BURGER in your mouth. You guys forgetting what is wild reality about? To survive! In fact, animals spend most of the time (I think I've heard somewhere it's actually 16 hours of day!) searching for food or potential prey. So WAKE UP! What the hell did you wanted to see in the documentary?! How lion changing channels on his TV and playing computer games? Oh no, that's what YOU do all day instead of killing your future dinner! If you were thrown to savanna, or forest or anywhere else, you would probably die actually, but if not, you would spend your whole day looking for food. Believe me.Yes, this documentary is sometimes brutal, it's no cute Lion King story. Nothing for kids. But it shows reality. It's probably best documentary ever made and I can't wait to see it on Full HD TV. Thanks everyone who created this masterpiece.P.S.: Planet Earth: Diaries (2 episodes in the ""Making of"" style) is highly recommend to watch!"
NA,"bs3dc","Jan 15, 2007",10,"Brilliant Documentary Series",NA,"The production value is absolutely amazing and is so informative. You honestly can't believe what your watching because it doesn't seem possible. The shots they do are so creative and is well worth the time. A must watch for everyone."
NA,"Nerte","Jul 30, 2008",10,"Explanation to those low-rating reviews...",NA,"Simply put, I have never seen a better series, or film for that matter. After re-watching the entire series for the 5th or 6th time this past week, I continue to be in awe. From the deepest oceans to the highest peaks, the coldest winters to the hottest deserts, Planet Earth makes you feel like you are there, experiencing the most incredible things are planet has to offer. From rare animals rarely spotted in the wild to incredible time lapses to beautiful panoramic shots from space, the film provides some of the most humbling images I have ever seen. Coupled with an AMAZING score and humble, sincere, and informative narration by David Attenborough, this epic piece of film making is Perfect in every way. Everyone I have ever shown it to is at the very least impressed, and usually in Awe. From nature lovers to computer nerds and jocks, the humbling images shown in Planet Earth makes everyone a believer in the power of nature once again. An Incredible series that should be included in all talks for the ""Greatest of All Time""."
NA,"ortz3","Dec 25, 2017",10,"Truly Astonishing",NA,"This series is probably one of the best series I have ever watched. This fascinating documentary drags me in every time I watch it. David Attenborough's way of explaining of how creatures breed, eat etc is like no other before, he's the best wildlife narrator that will ever live. They spent five years on this wildlife, and I think that it was definitely worth it. It is the most expensive nature documentary series ever commissioned by the BBC, and it was the first ever in high definition. So really, it set the bar for high picture quality. The BBC did it perfectly in the way of organising it for the episodes, it just flowed perfectly. There won't be another nature documentary like this one.So if you don't watch it, you're missing out massively."
NA,"solon-stewart","Sep 14, 2009",10,"The Greatest Series Ever",NA,"I have always been a huge fan of documentaries and nature TV shows and I consider the BBC the greatest studio that produces documentaries second only to National Geographic, and I may be exaggerating but I think that PLANET EARTH is MUCH better than 10 National Geographic documentaries put together!What makes PLANET EARTH unique is that unlike the typical documentary that shows only animal footage it shows also some amazing shots of our world's marvellous environments and also some satellitar images when they are required. Add to this David Attenborough's great narration with that soothing voice of his and George Fenton's majestic soundtrack and you have probably the greatest nature show of all time. So if you have never seen it, don't ever miss it since it can make everyone speechless!"
NA,"edwardashton4545","Jul 27, 2014",9,"Absolutely Mindblowing!",NA,"There is nothing beautiful in the world! The shooting is so delicate that every frame can be used as a desktop! I heard that the male-only courtship dance was filmed for 6 months. I dare not imagine the whole project. I was particularly impressed by the struggle between mushrooms and ants, the battle between ape groups, and the great migration in Africa. While watching, I reflected on the meaning of life again and again: What is the significance of breaking the cocoon in 17 years only for the cicadas that survive for a day? Combined with Dawkins' book"
NA,"bellino-angelo2014","Sep 20, 2020",9,"Words fail me to describe such greatness",NA,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough (of course).An excellent documentary series on the wildlife of Earth: their habitats, seasonal patterns, how they survive and thrive (or sometimes don't). By breaking down the series into episodes that each cover a different habitat you can see how the different species compete and are often dependent on each other. This also highlights how these different species are suited to those habitats.Cinematography is superb: amazing footage. Narration is by David Attenborough (as you would expect) and is excellent (also to be expected).Well researched and very interesting, informative and edifying."
NA,"krational-66550","May 31, 2020",9,"beauty",NA,"This series is incredible. It took 5 years to shoot the footage, and it really shows that they took their time with it. I bought the DVD recently, and its full of ""firsts"" in nature photography, including a snow leopard kill and a blue bird of paradise mating dance, both of which are incredible. Everything is shot with crystal clear quality and the score is at times epic, and fits the video very well. ""Ocean Deep"" features camera-work from two miles below the earth's surface and shows some truly tremendous life forms. This is basically the place to start if you're interested in nature at all.The only thing that ever bothers me about this show is that some of the episodes seem to have a jumpy or non-existent theme, and it makes it hard to remember which episode certain amazing clips are from."
NA,"Rob1331","Sep 27, 2022",10,"Incredible!!",NA,"Band of Brothers absolutely one of the best miniseries of all-time...period. Not only that but it's also among the very best war movies/tv shows ever created! It follows the story of a US Army airborne division called Easy Company and their missions in Europe during World War II. It follows the brave soldiers and their experiences and bravery during the war. It's based off interviews with survivors of Easy Company and the soldiers letters and journals they wrote. EVERY episode is so incredibly written and the cast is absolutely amazing! It is a pulse-pounding accurate depiction of war that will keep you glued to each and every episode. I have to warn you that it's a tough watch but absolutely worth it."
NA,"sanderson777","Oct 14, 2001",10,"Possibly the finest 10 hours ever created",NA,"Band of Brothers is the best Movie/Mega Mini series that has ever been made. It has all the production quality of Saving Private Ryan but with many more layers of plot and characters. I can't wait for the what has to be a gigantic DVD collection, just hope it is under $200!!! Thanks HBO!!!!!!!"
NA,"wildcatt268","Jan 18, 2002",10,"One of the best war movies/series ever",NA,"I have read virtually all of Ambrose's WWII books, and this mini-series faithfully follows one of his best. The experience of these men of the 506th Parachute Infantry Regiment, 101st Airborne, was mirrored throughout the many divisions of Army and Marine ground troops in WWII. I feel that this series represents that collective experience in the finest, most forthright manner possible and pays tribute to them all. The acting, mostly by previously unheralded actors, was superb--particularly that of Damien Lewis (Capt.Winters). Winters had to mature along with his increasing command responsibilites, had to learn to turn over his initial company-level responsibilities to others as he was promoted to battalion commander.  It was clearly tough for him, particularly when he had to order attacks on heavily defended objectives, without being to lead his former command directly.   All of the characters were developed enough that you cared about each of them as individuals, and felt the loss of each of them through the attrition during the brutal fighting in the Northern European Theater. They cared for each other as fighting men do (confirmed by my own experience in the infantry in Vietnam), but at the same time they had to carry on with the mission regardless of loss.  Replacements are regarded warily at first, but then managed to blend in with the veterans if they showed they were worthy of joining this band of brothers.  The plot is real, and as such is neither macho nor macabre--it just is presented as it really happened.  The truths of combat are stranger than fiction.  The interviews with the actual veterans, interspersed throughout the series, added authenticity, verified what the series was showing. These representatives of ""The Greatest Generation"" did themselves and this nation proud. Though I knew the story well, I eagerly looked for to each new episode to see how well it tracked with the book and how well the actors and director portrayed it.  Up to this series, I had thought that ""Once an Eagle"" (starring Sam Elliot) was the best war series, but this one is now at the top of the class in my view."
NA,"arjay24","Apr 18, 2004",10,"Realistic",NA,"I am an 80 year old combat veteran (88th Inf. Div. Italy).I watched BOB on the History Channel. I was so overwhelmed, indeed a bit panicked by the authentic nature of 90+% of the uniforms, signs, noises (I take exception to the sound of incoming artillery).I cried several times at the authentic staging - for them and me.I cannot believe I'll watch it again. It's too much. Too real.We never had so much water allowed in a shower.Rate: 10/10"
NA,"rbverhoef","Feb 13, 2003",10,"Excellent",NA,"This week I saw three things based on WW-II novels. The first was 'The Pianist' about the Warsaw ghetto in the war and the survival of a Jewish pianist in that ghetto. The second was 'De Tweeling', a Dutch film about two twin-sisters, separated in 1926. One of them grows up in Nazi-Germany, the other in The Netherlands. That movie shows us more of the common persons during the war, Germans and not-Germans. The third was 'Band of Brothers', a true story about combat in the war. All three things are great, the films I mean, and you definitely should see all three of them.'Band of Brothers' follows Easy-company from their training in England, through D-Day, the rest of France (including Bastogne), Holland (including operation Market Garden), Germany and Austria. This story is shown to us in ten different episodes. Every episode starts with the real men from Easy-company telling about their experiences and ends with a short written update of Easy-company. Between beginning and ending of episodes one of the best things I have seen on screen is presented to us.The casting is amazing. Even David Schwimmer (from 'Friends') as the bitter Captain Sobel is great. Damian Lewis and Ron Livingston are superb as Major Winters and Captain Lewis Nixon. Every actor seems to be perfect for his character. The photography and direction is great also. I especially loved the direction of the episode done by executive producer Tom Hanks, possibly with some help from the other executive producer Steven Spielberg. 'Saving Private Ryan' was great for showing us the horror in combat, 'Band of Brothers' does the same thing but adds some other things. You really learn to know the characters (in 600 minutes you can do that), you sympathize with them.If you have the chance to see this masterpiece, do so. It is long but you can spread the episodes over some days. But if you start watching it is very hard to stop. Definitely one of the best WW-II movies or series out there."
NA,"yodaschoda","Jan 23, 2005",10,"One of, if not the best, mini series' ever made",NA,"Band of Brothers finds us following the exploits of Easy Company throughout their campaign in Europe, from their inception all the way to the end of the war. The commentary from the actual soldiers that were in those situations is touching, to say the very least. These commentaries also help to move the character development along quite a bit, as it lets us into their own personal thoughts on the situations they faced. This project, to the best of my knowledge was undertaken at roughly the same time as Saving Private Ryan, using many of the same locations and also employing DreamWorks special effects, giving it a very familiar feel for anyone that has seen Private Ryan. As I've already touched on, the character development is greatly due to the fact that this story is not told in a two hour segment, but throughout several hour long intervals, giving us the chance to truly ""get to know"" the characters personalities as the story develops. In my humble opinion, the only other military type mini series' that even come close to the scope of this one are The Blue and The Grey, and North and South.All of the actors in this series do and excellent job at playing the roles appropriately and making us believe the hell these men were put through. The thing I also appreciated about the cast is the lack of any ""real"" names, leading to us not knowing who may or may not be making it out the scenes alive and unscathed.This mini series is everything Saving Private Ryan was, as well as everything it wasn't. If you're a fan of war time stories and ""army"" movies, this is hands down the best of the best I don't even think I could name ANY movies about WWII that could even compare to this one A bold statement, I know, but I'm making it any how."
NA,"philip_vanderveken","Sep 16, 2004",10,"This series is so unbelievably realistic, so authentic.",NA,"There aren't much TV-series which have left such an impression on me as Band of Brothers did. From the moment I saw the first episodes, I knew I had to buy this on DVD.This series, telling you the story of Easy Company of the US Army Airbourne Paratrooper division is so unbelievably realistic, so authentic... There has been put so much effort in taking care of all the details that it makes you believe that you are right in the middle of all the action. This is an outstanding achievement. It's about ten hours long, but I wouldn't mind if it was a few hours longer. Each episode opens with interviews with several of the actual men from Easy Company, talking about some of the experiences that that episode deals with. When you buy the special edition DVD box (a metal case with 6 instead of 5 DVD's), you will find the complete interviews with these men on the extra DVD. These interviews certainly aren't to be missed! As you may have guessed, I'm one of the biggest fans of this series. I could go on for hours about it, but our time is limited and instead of reading this you better watch the series yourself. According to me, there is only one score appropriate for a masterpiece like this one and that is 10/10. Amazing!!!!"
NA,"Supermanfan-13","May 6, 2022",10,"One of the best mini-series ever created!",NA,"Band of Brothers absolutely one of the best miniseries of all-time...period. Not only that but it's also among the very best war movies/tv shows ever created! EVERY episode is so incredibly written and the cast is absolutely amazing! It is a pulse-pounding accurate depiction of war that will keep you glued to each and every episode."
NA,"thiagoutp","Nov 4, 2019",10,"Probably the best ever",NA,"Band of Brothers shows the world the ugly truth of World War II.As it was a TV series, sometimes people may think that there are movies of the same quality, but honestly, I didn't find.The characters are presented very deeply and we can even feel what they are going through and the problems they are facing.At times, distressing. Others, exciting.I believe that as it was based on real facts and having testimonials from people who have gone through the war, Band of Brothers becomes unforgettable."
NA,"bsmith5552","Nov 5, 2001",10,"Realistic WWII Drama With Warts Included",NA,"""Band of Brothers"" in a word is awesome. I couldn't wait to see each episode. Co-Executive Produced by Tom Hanks and Steven Spielberg, it has the realism, look and feel of Spielberg's ""Saving Private Ryan"" (1998) but with more insight into the characters. Hanks even directed one episode himself. Told over ten gut wrenching episodes, the story centers on a company of soldiers in the 101st American Airborne Division in WWII from their initial basic training to their landing in France on D-Day to their many battles and ordeals through to the liberation of a concentration camp and finally through to the end of the war. The soldiers are ordinary people thrust into horrific situations and shows how each is able (or not able) to deal with the situations. The battle scenes are realistic and convincing and the special effects are breath taking. While the series depicts the trials and tribulations of the company, it isn't afraid to show how the war affects seemingly sane and rational men. For example there is a scene where the nominal hero of the story, Winters (Damien Lewis) shoots an unarmed German soldier out of frustration. There is also a scene where a group of German prisoners are cut down by an American officer after he had given them cigarettes. Even after the German surrender there are instances of out and out murder of Germans. This is very rare for an American war story. The cast is of largely unknown actors, which makes for a more effective telling of the story. There is no John Wayne leading the troops to victory kind of thing. Damien Lewis is very good as Winters who rises through the ranks to lead the company. Ron Livingston plays his friend and second in command, Nixon. Others include David Schwimmer, excellent as the training officer, Scott Grimes as Malarkey the grizzled sergeant and ex New Boys on the Block member Donnie Wahlberg effective as Corporal Lipton. ""Band of Brothers"" is a story that could only be told in a mini-series. It clearly shows that war really is hell."
NA,"faded_english_monkey","Aug 25, 2004",10,"war, no frills",NA,"I absolutely love this miniseries.As a keen amateur historian, I got sick and tired of books and documentaries about the great leaders, politics, geography and basically, the non-bloodshed parts of WW2.Similarly virtually every time I saw a war movie, it was ruined by flashbacks( thin red line) ridiculous fiction (and yes, i do mean you, The Bunker) or completely unnecessary and out of place sex scenes (who can forget Enemy At The Gates, a powerful film, until that awful sex scene which ruined the whole thing?)There are good war movies. But this stands out, because not only is there no fiction whatsoever, but because, as a miniseries, more time is available to get to know the characters, and follow their progress, to know them, to love them, to mourn them.Time allows for detail, and the fact that the 'frills' that other films stick in to make them more viewer friendly and marketable have been left out....When a character in BoB dies, you mourn not because a flashback tells you they have a young sweetheart or something...but because you know this is real, it happened. The acting is truly superb, and you realise, it isn't a character you are mourning at all, it's a real person. This is because the actors made very strong relationships with their real life surviving counterparts, they knew their roles inside out and it really does show. We feel so strongly for the characters because the actors have portrayed them so faithfully. There are no clichés, because the truth is so accurately reproduced.After reading Ambrose's book, you realise how religiously each part of the series is portrayed. The sets are perfect, the effects remarkable, and Michael Kamens score will go down as one of the finest ever written. Everything about the production of this series is phenomenal, the details are so minute yet so important.This should be watched not just for entertainment value, but as a reminder of the sacrifices made for us. Easily the best television series ever produced.Watch it. Now."
NA,"planktonrules","May 30, 2015",7,"You can't beat this....",NA,"""Band of Brothers"" is a nearly 12 hour long show about the experiences of a group of soldiers during their tour of duty in Europe during WWII. Given that it is this long, it allows so much more in the way of character development and story telling than a typical war movie. The closest thing to this quality-wise is the original version of ""Das Boot""--as it was a mini-series and was later spliced apart to make it a motion picture. But even then, the German submarine film was only about 40% as long and never got into the detail and had quite the emotional impact as ""Band of Brothers"". In every way, the show screams quality--with amazing sets, details and direction. In fact, while the budget for this was large ($125,000,000 according to IMDb), it was actually pretty small considering the number of actors, the amazing sets and the length of the series. This is a must-see for anyone and I would say more and heap more praise on the film except that there are already hundreds and hundreds of other reviews on IMDb that pretty much do that already."
NA,"stilonkostrzyn","Apr 10, 2021",5,"Overrated??",NA,"I understand why ppl rate it so high, but imo this show is aimed mostly to american audience to bring up patriotic feelings and high emotions, as an european i cant really get into it. A very nice ww2 series in general but not a 9.5 for me."
NA,"faded_Glory","May 2, 2006",10,"Not very realistic at all",NA,"Lots of people applaud this series for its realism, but I can't really agree. I think there is still too way much Hollywood here and a lot of the scenes are cliché. The Germans are almost without exception behaving as total amateurs. For example, in the Crossroads episode they let themselves be completely surprised by the American attack in the rear, and in response they go running round in the open like a bunch of headless chickens to be shot down in droves. Yet we are told that these are SS soldiers. The SS was a crack unit and I don't believe that they were such poor soldiers to let this happen to them. One of the first things you get taught in tactical school is to secure your perimeter and set guards in all directions.The American side too made huge blunders, if we accept this to be a realistic depiction of what happened in reality. Take the attack on the village of Foy (another place where we constantly see crowds of Germans nervously running around in the open for no apparent reason). The Americans knew that the Germans had artillery and tanks there, yet they assault the village with less than one Company of infantry without any attempt to soften up the defenders first! What are they thinking? Where was the Air Force? Couldn't they bomb the village first? Where was the American artillery? Couldn't they lay a barrage on the village before the attack? Why not use smoke grenades to give themselves some cover when they crossed the open fields? And we are supposed to feel sorry for the guys that their attack got bogged down? Also very unrealistic is the layout of the opposing sides in the Last Patrol episode. If you believe this, the lines were less than hundred meters apart, yet on both sides people were walking around right in the open, and exposing themselves at the windows etc. At night they show some huge spotlights on the German side - surely those would be immediate targets given that they only appear to be a couple of hundred meters away from the Americans and plainly visible? Ridiculous! The behaviour of the Americans during the shelling in the Bastogne wood is equally unrealistic. Why are they all walking around in the open and talking to each other if they were so close to the German lines and expecting to come under fire? They should have been sitting in their foxholes, observing the enemy, not walking around chatting as if they were taking a stroll in the park! And then when the first shells explode why are some of them running round like idiots, shouting to the others to take cover? Don't you think that these D-day veterans would know by now to take cover when the shells start flying? All this kind of stuff that is only designed to get us excited and rooting for the characters is typical Hollywood nonsense. Never mind the decent acting, the good costumes and props, the camera-work - if the overall behaviour of the characters is quite unbelievable the entire story falls flat on its face. I am still waiting for the first truly realistic depiction of front-line combat - but I don't think I will ever get to see it, because in reality it isn't very photogenic so it wouldn't sell."
NA,"jazmodo","Jun 3, 2019",10,"Without Doubt, the Best Mini-Series Ever Recorded",NA,"As near to perfection as a TV Series can be, I cannot put into words the gravity & importance of this series.A true, accurate, beautiful, and brutal portrayal of war. Nothing compares in the modern age, if ever.Episode 9 is so emotionally draining it is very hard to watch at times, but watch it you must.Never Again must we let this happen. Never, ever, ever again.From a UK viewer, my heart, soul and tears are with every allied veteran, and every jewish person (and others) tortured and murdered by the Nazi regime.This is the best, Chernobyl second best."
NA,"kait2007","Jan 26, 2005",10,"Great Miniseries",NA,"I was a little hesitant to watch this miniseries because i'm not too fond of war movies, but this one was amazing! The acting was amazing, as well as the quality of picture. It was made to look like it was back in the 40's. It's not in black and white, but it has that older look. The actors, mostly British, are absolutely amazing. You really feel like you are there with them participating in the battles, feeling the pain of losing a comrade, and the fear of the battle. It starts with the basic training in Toccoa,Ga, and continues through Normandy, The battle of the Bulge, and Operation Market Garden, among others, as well as the liberation of a concentration camp. If you liked Saving Private Ryan, or even if you didn't, you will definitely love this miniseries!! Once again, Tom Hanks and Steven Spielberg created a masterpiece!"
NA,"mickman91-1","May 3, 2022",10,"A series like this won't be made again (see below), so treasure it",NA,"After 20 years it remains rightfully one of the highest rated things on IMDB. This is because it taps into the darkest days of the 20th century from which the greatest sacrifices were made, and the greatest heroes were forged. They simply wouldn't make BoB this way anymore and it wouldn't be as significant. Because 20 years age, most of us still had parents and grandparents who were still alive who had fought in or experienced WW2. So it was very much still real and close to all of us. 20 years later it is now almost entirely part of history books as opposed to being something we can still feel. Band of Brothers immortalised a number of ordinary but inspirational men and their stories, which were a microcosm for the stories of the millions of people and families around the globe and their experiences in humanity's darkest days. It would also be too political and careful if it were made these days. Because enough distance has passed people now for people to feel comfortable enough to criticise what happened as seen from a modern perspective and may even try to denigrate or change the narrative to serve their delusions or agenda. Because they no longer have to look into the eyes of the ordinary men and women who had to do terrible things and make terrible sacrifices being thrust into scenarios they did not create. So a series like Band of Brothers will never and could never be made again, so treasure it."
NA,"kipmcmillan","Oct 24, 2018",9,"Share With Your Children",NA,"This is an incredibly poignant and important show that everyone should watch once. It's so real in the portrails of these men and women who lived through this war.
I've watched it a couple dozen times and I still get drawn into this story and am touched by the sacrifices so many people made.
Please show this to everyone you know. It's important to tell these stories that are becoming lost to time and history."
NA,"erwan_ticheler","Dec 7, 2002",10,"Best Mini series ever",NA,"Judging by other comments, it seems that this miniseries struck a chord with many viewers. I almost hate to add yet another glowing endorsement since the other reviews are pretty much identical...but here goes. This one made me wonder WHERE DOES AMERICA GET SUCH MEN? The things that Easy Company (boy, there's irony for you!) went through. I've always been grateful to all those who fought for my freedom (I served my country but never had to fight) and have wondered how men could do the awful things that had to be done. I've admired those who actually faced combat. Anyway, Band of Brothers is superbly done historically correct documentary about E Co, 101st Airborne. It follows the lives (and sometimes deaths) of the men of Easy Co. The miniseries takes the men through most of their combat engagements. The cinematography is outstanding. Spielberg and Hanks really did a great job on this miniseries! There are some interviews with some of the survivors, who have remained close to this day. Disks 1-5 are the actual miniseries but WHATEVER YOU DO, DON'T SKIP DISK 6! There is a lot of information about how the film was cast, the ""boot camp"" that the actors went through and how soft actors were turned into lean, hard fighting men. There are more interviews with surviving members of Easy Co. Folks, this is a don't-miss series!"
NA,"grahamsj3","Nov 25, 2002",10,"A-1, TOPS, the BOMB what else can I say?",NA,"This is the true story of Easy Company, 506th Parachute Infantry Regiment, 101st Airborne Division. It start 2 years before D-Day as they train in Camp Toccoa, Georgia. They battle from Normandy ending with the idleness of occupation in Germany.This is almost perfect television. It takes compelling important history and makes it a thriller touching TV event. There are so many great characters. The greatness of this show is that these actors make these characters come alive. Obviously the audience isn't expected to keep track of every character. However every leading character has a compelling personality. It's also a new level of authenticity for TV production. The action is thrilling. The last episode is slower dealing with an usual aspect of the struggle. The episode is unexpected but compelling nevertheless. This is a great TV war miniseries from start to finish."
